Time_Frame,Low,High,Last,Weight_Avg,ID_Full,ID1,ID3,Buy_Volume,Sell_Volume,Volume,Date
00:00 - 00:15,30.00,145.04,95.00,107.36,107.36,97.78,118.91,711.8,632.3,672.1,2025-02-07
00:15 - 00:30,40.09,149.98,68.60,108.65,108.65,94.64,112.39,515.1,593.3,554.2,2025-02-07
00:30 - 00:45,59.87,137.75,97.03,92.92,92.92,87.75,93.40,655.2,714.8,685.0,2025-02-07
00:45 - 01:00,28.52,125.05,109.00,85.43,85.43,76.51,82.10,1103.9,1148.0,1126.0,2025-02-07
01:00 - 01:15,67.47,137.80,100.00,108.22,108.22,100.47,108.11,494.5,530.6,512.6,2025-02-07
01:15 - 01:30,67.71,196.54,90.00,91.47,91.47,88.06,91.18,522.8,518.0,520.4,2025-02-07
01:30 - 01:45,38.80,221.71,93.69,90.39,90.39,84.93,86.77,840.5,812.9,826.7,2025-02-07
01:45 - 02:00,43.84,114.98,79.72,80.13,80.13,74.57,76.40,1108.9,1155.7,1132.3,2025-02-07
02:00 - 02:15,70.20,150.88,70.20,103.50,103.50,108.64,104.54,460.9,512.9,486.9,2025-02-07
02:15 - 02:30,69.93,136.40,96.50,90.32,90.32,90.95,90.71,591.9,602.3,597.1,2025-02-07
02:30 - 02:45,68.11,135.90,97.70,85.80,85.80,78.24,80.74,753.1,662.6,707.9,2025-02-07
02:45 - 03:00,71.60,151.10,98.00,83.64,83.64,80.74,80.00,765.4,769.5,767.5,2025-02-07
03:00 - 03:15,75.04,136.80,89.07,96.86,96.86,95.76,95.00,391.1,436.9,414.0,2025-02-07
03:15 - 03:30,68.91,173.87,135.80,90.18,90.18,91.88,90.93,468.7,506.0,487.4,2025-02-07
03:30 - 03:45,55.00,244.50,67.00,86.20,86.20,85.55,85.95,624.8,637.0,630.9,2025-02-07
03:45 - 04:00,44.00,209.60,44.00,78.42,78.42,78.05,78.91,848.6,761.7,805.2,2025-02-07
04:00 - 04:15,45.00,104.31,55.00,84.98,84.98,84.30,86.23,499.4,501.5,500.5,2025-02-07
04:15 - 04:30,42.01,104.31,82.29,82.69,82.69,77.41,81.74,537.4,572.4,554.9,2025-02-07
04:30 - 04:45,46.35,188.98,71.00,83.38,83.38,75.93,81.20,495.9,549.1,522.5,2025-02-07
04:45 - 05:00,39.80,140.50,69.00,81.38,81.38,72.95,78.66,579.7,620.7,600.2,2025-02-07
05:00 - 05:15,-200.00,106.83,70.00,77.03,77.03,76.45,78.68,658.1,617.6,637.9,2025-02-07
05:15 - 05:30,23.31,168.50,90.00,77.44,77.44,68.96,75.07,539.5,543.0,541.3,2025-02-07
05:30 - 05:45,28.69,193.49,193.49,86.29,86.29,81.33,83.14,659.1,643.6,651.4,2025-02-07
05:45 - 06:00,4.03,126.03,79.10,94.65,94.65,91.34,92.93,835.8,878.6,857.2,2025-02-07
06:00 - 06:15,56.20,132.98,85.00,72.38,72.38,69.67,68.70,1194.7,1179.5,1187.1,2025-02-07
06:15 - 06:30,41.43,127.29,70.00,86.04,86.04,84.99,84.74,976.6,901.9,939.3,2025-02-07
06:30 - 06:45,30.00,122.56,111.79,86.07,86.07,89.51,91.99,954.0,862.6,908.3,2025-02-07
06:45 - 07:00,52.00,144.97,69.20,98.56,98.56,89.48,98.57,1209.8,1147.6,1178.7,2025-02-07
07:00 - 07:15,41.70,140.66,82.19,89.01,89.01,85.63,87.00,974.0,947.3,960.7,2025-02-07
07:15 - 07:30,43.91,140.66,59.40,94.24,94.24,87.79,94.78,744.1,822.9,783.5,2025-02-07
07:30 - 07:45,30.13,159.44,87.00,104.25,104.25,99.96,104.73,907.2,1063.7,985.5,2025-02-07
07:45 - 08:00,68.02,163.54,120.00,106.46,106.46,99.13,104.71,944.9,1012.7,978.8,2025-02-07
08:00 - 08:15,100.11,206.49,123.53,117.79,117.79,110.86,114.26,589.7,705.2,647.5,2025-02-07
08:15 - 08:30,86.38,184.70,108.20,117.98,117.98,114.31,115.47,608.5,729.8,669.2,2025-02-07
08:30 - 08:45,87.87,187.02,123.53,113.97,113.97,114.19,110.23,691.5,841.0,766.3,2025-02-07
08:45 - 09:00,78.73,159.42,126.67,106.35,106.35,103.27,101.36,821.0,1003.9,912.5,2025-02-07
09:00 - 09:15,64.10,166.17,92.62,117.54,117.54,107.21,113.36,750.1,744.8,747.5,2025-02-07
09:15 - 09:30,70.01,162.19,104.85,104.64,104.64,101.19,103.66,729.5,819.2,774.4,2025-02-07
09:30 - 09:45,68.00,155.29,78.84,98.42,98.42,96.59,96.38,1029.5,1163.2,1096.4,2025-02-07
09:45 - 10:00,58.50,145.23,123.53,83.45,83.45,79.24,80.96,1342.5,1364.2,1353.4,2025-02-07
10:00 - 10:15,78.62,202.40,123.53,104.97,104.97,88.45,94.68,951.3,881.2,916.3,2025-02-07
10:15 - 10:30,73.86,154.98,140.00,101.93,101.93,87.26,89.27,945.0,916.4,930.7,2025-02-07
10:30 - 10:45,76.10,162.16,120.00,95.84,95.84,83.42,81.89,1201.7,1206.5,1204.1,2025-02-07
10:45 - 11:00,56.73,132.88,80.40,81.78,81.78,86.14,79.35,1618.1,1584.7,1601.4,2025-02-07
