Time Frame,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),ID Full (€/MWh),ID1 (€/MWh),ID3 (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Date
00:00 - 00:15,52.55,165.27,55.01,118.41,118.41,123.90,127.45,407.6,429.0,418.3,2025-02-09
00:15 - 00:30,95.66,151.24,110.00,126.66,126.66,126.70,130.69,312.5,362.7,337.6,2025-02-09
00:30 - 00:45,-69.86,147.70,89.40,114.99,114.99,109.10,117.79,308.7,330.6,319.7,2025-02-09
00:45 - 01:00,54.89,133.61,54.89,104.18,104.18,104.89,111.39,475.1,481.6,478.4,2025-02-09
01:00 - 01:15,93.83,209.41,152.60,129.90,129.90,126.93,130.14,356.9,353.6,355.3,2025-02-09
01:15 - 01:30,81.71,171.74,142.58,125.90,125.90,119.97,123.19,265.2,293.1,279.2,2025-02-09
01:30 - 01:45,100.61,153.95,153.95,119.54,119.54,113.39,115.41,281.8,308.3,295.1,2025-02-09
01:45 - 02:00,104.36,169.30,117.00,112.73,112.73,111.67,110.91,317.5,333.1,325.3,2025-02-09
02:00 - 02:15,100.85,179.59,153.42,129.45,129.45,130.51,127.82,275.0,250.5,262.8,2025-02-09
02:15 - 02:30,102.89,154.20,116.07,120.78,120.78,121.56,119.75,284.6,247.6,266.1,2025-02-09
02:30 - 02:45,98.02,152.40,121.65,115.32,115.32,113.78,115.04,295.8,266.7,281.3,2025-02-09
02:45 - 03:00,32.01,127.79,41.42,100.51,100.51,110.40,109.81,405.0,356.3,380.7,2025-02-09
03:00 - 03:15,81.94,140.37,87.50,118.94,118.94,122.24,124.40,308.7,286.3,297.5,2025-02-09
03:15 - 03:30,-7.10,126.19,88.40,106.31,106.31,108.28,111.96,265.3,247.1,256.2,2025-02-09
03:30 - 03:45,-97.49,129.98,97.50,99.80,99.80,97.47,104.02,409.7,335.1,372.4,2025-02-09
03:45 - 04:00,54.66,118.98,71.90,94.92,94.92,88.18,95.44,454.4,413.6,434.0,2025-02-09
04:00 - 04:15,80.49,134.38,124.17,110.74,110.74,109.69,113.37,259.4,220.0,239.7,2025-02-09
04:15 - 04:30,39.70,118.88,75.00,99.82,99.82,99.40,106.16,225.4,213.2,219.3,2025-02-09
04:30 - 04:45,43.40,121.46,68.18,96.17,96.17,96.85,104.07,244.7,233.8,239.3,2025-02-09
