Time Frame,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),ID Full (€/MWh),ID1 (€/MWh),ID3 (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Date
04:45 - 05:00,63.59,118.74,118.50,97.65,97.65,90.78,98.17,340.1,318.6,329.4,2025-02-09
05:00 - 05:15,58.92,125.83,113.20,100.50,100.50,89.16,98.31,331.2,244.5,287.9,2025-02-09
05:15 - 05:30,64.49,175.58,74.11,97.51,97.51,92.43,98.02,294.9,232.8,263.9,2025-02-09
05:30 - 05:45,35.49,192.09,105.70,96.68,96.68,95.92,98.55,328.7,270.5,299.6,2025-02-09
05:45 - 06:00,73.00,148.54,117.00,98.60,98.60,88.03,93.81,450.1,399.5,424.8,2025-02-09
06:00 - 06:15,77.90,131.25,115.00,92.83,92.83,84.23,85.64,499.1,476.5,487.8,2025-02-09
06:15 - 06:30,-63.77,124.33,86.84,99.98,99.98,111.48,98.26,436.9,347.9,392.4,2025-02-09
06:30 - 06:45,74.18,144.09,118.50,107.59,107.59,116.94,108.21,435.3,414.5,424.9,2025-02-09
06:45 - 07:00,95.66,157.97,100.00,117.16,117.16,115.09,115.23,514.7,507.2,511.0,2025-02-09
07:00 - 07:15,68.41,121.43,95.00,90.24,90.24,81.83,87.18,508.0,499.2,503.6,2025-02-09
07:15 - 07:30,-129.44,139.93,107.60,104.16,104.16,96.47,100.28,409.5,376.6,393.1,2025-02-09
07:30 - 07:45,110.49,148.00,135.00,122.09,122.09,114.16,115.74,461.8,497.1,479.5,2025-02-09
07:45 - 08:00,110.20,152.55,149.54,122.27,122.27,118.43,118.30,625.1,688.5,656.8,2025-02-09
08:00 - 08:15,84.78,144.04,115.60,115.54,115.54,112.42,110.48,525.2,532.8,529.0,2025-02-09
08:15 - 08:30,80.00,140.83,80.00,114.51,114.51,119.33,115.66,480.2,522.0,501.1,2025-02-09
08:30 - 08:45,77.51,152.23,110.00,103.73,103.73,100.99,105.32,545.5,563.9,554.7,2025-02-09
08:45 - 09:00,36.17,124.00,90.00,89.64,89.64,77.83,87.47,930.2,930.4,930.3,2025-02-09
09:00 - 09:15,104.19,169.43,141.00,125.53,125.53,112.38,114.29,805.0,779.6,792.3,2025-02-09
09:15 - 09:30,45.00,152.99,125.00,108.26,108.26,93.37,97.88,726.2,642.8,684.5,2025-02-09
09:30 - 09:45,-33.70,152.51,98.90,95.34,95.34,89.14,88.46,1075.3,1033.8,1054.6,2025-02-09
09:45 - 10:00,47.51,111.27,70.00,80.49,80.49,81.15,80.00,1198.4,1141.9,1170.2,2025-02-09
10:00 - 10:15,33.02,136.74,106.40,103.06,103.06,102.94,102.97,726.8,631.9,679.4,2025-02-09
10:15 - 10:30,33.98,122.53,106.56,89.23,89.23,83.98,86.68,680.5,668.3,674.4,2025-02-09
10:30 - 10:45,29.69,131.29,129.00,85.78,85.78,79.69,80.47,984.5,994.0,989.3,2025-02-09
10:45 - 11:00,28.35,153.90,135.00,87.16,87.16,78.35,78.25,1479.8,1520.1,1500.0,2025-02-09
11:00 - 11:15,59.25,129.90,98.13,92.06,92.06,83.65,86.93,694.3,653.3,673.8,2025-02-09
11:15 - 11:30,28.36,136.74,90.02,87.42,87.42,78.36,80.46,604.5,589.3,596.9,2025-02-09
11:30 - 11:45,63.15,114.89,77.10,82.42,82.42,82.36,79.81,836.5,853.9,845.2,2025-02-09
11:45 - 12:00,63.00,106.50,77.72,80.28,80.28,82.98,79.73,1095.1,1074.4,1084.8,2025-02-09
12:00 - 12:15,71.41,150.69,150.69,90.07,90.07,84.55,86.34,627.6,616.0,621.8,2025-02-09
12:15 - 12:30,67.71,125.30,110.00,84.49,84.49,76.12,79.68,671.7,677.2,674.5,2025-02-09
12:30 - 12:45,58.60,148.40,108.48,81.56,81.56,73.96,78.02,843.7,827.6,835.7,2025-02-09
12:45 - 13:00,61.32,142.56,98.00,79.91,79.91,78.36,76.27,1017.6,1043.5,1030.6,2025-02-09
13:00 - 13:15,0.00,101.50,88.90,78.36,78.36,73.70,76.37,686.6,681.2,683.9,2025-02-09
13:15 - 13:30,-419.85,104.50,56.00,73.55,73.55,68.21,73.47,803.6,796.5,800.1,2025-02-09
13:30 - 13:45,47.01,103.60,51.80,71.50,71.50,69.01,71.49,847.9,839.3,843.6,2025-02-09
13:45 - 14:00,32.48,108.38,70.00,72.95,72.95,69.45,71.07,1056.8,999.2,1028.0,2025-02-09
14:00 - 14:15,18.80,102.36,70.60,70.66,70.66,59.57,68.55,1114.5,1089.6,1102.1,2025-02-09
14:15 - 14:30,44.90,111.60,74.00,76.84,76.84,75.30,75.11,1027.3,977.3,1002.3,2025-02-09
14:30 - 14:45,56.68,122.94,90.00,79.48,79.48,72.73,73.74,767.3,704.6,736.0,2025-02-09
14:45 - 15:00,56.62,149.36,106.89,83.12,83.12,74.19,74.88,1087.3,1014.7,1051.0,2025-02-09
15:00 - 15:15,46.90,129.26,107.91,80.85,80.85,73.06,75.64,1229.7,1221.2,1225.5,2025-02-09
15:15 - 15:30,-146.37,129.46,91.80,88.68,88.68,86.78,84.98,935.1,949.1,942.1,2025-02-09
15:30 - 15:45,80.12,140.41,122.50,103.68,103.68,104.33,96.95,838.9,867.3,853.1,2025-02-09
15:45 - 16:00,99.50,162.00,118.76,124.47,124.47,132.52,121.75,984.1,986.0,985.1,2025-02-09
16:00 - 16:15,88.00,156.87,156.87,100.81,100.81,106.87,97.59,929.1,956.5,942.8,2025-02-09
16:15 - 16:30,110.03,201.73,115.44,129.44,129.44,138.88,130.26,588.3,646.1,617.2,2025-02-09
16:30 - 16:45,88.39,161.67,113.05,131.07,131.07,131.50,134.51,558.8,723.2,641.0,2025-02-09
16:45 - 17:00,117.90,172.93,149.99,144.14,144.14,140.01,145.10,964.3,1123.2,1043.8,2025-02-09
17:00 - 17:15,104.44,150.21,129.86,121.28,121.28,121.27,122.36,665.4,687.0,676.2,2025-02-09
17:15 - 17:30,83.60,159.22,91.00,129.64,129.64,134.59,135.55,500.4,474.5,487.5,2025-02-09
17:30 - 17:45,-116.95,168.45,93.30,130.71,130.71,133.27,141.29,626.3,599.6,613.0,2025-02-09
17:45 - 18:00,23.41,176.14,60.53,127.31,127.31,128.93,138.58,878.6,899.1,888.9,2025-02-09
18:00 - 18:15,-19.72,178.67,129.22,133.68,133.68,127.21,136.25,546.4,548.5,547.5,2025-02-09
18:15 - 18:30,97.00,178.01,138.35,137.50,137.50,130.58,138.18,516.1,582.3,549.2,2025-02-09
18:30 - 18:45,-15.50,177.77,144.20,135.73,135.73,125.24,135.71,597.7,660.0,628.9,2025-02-09
18:45 - 19:00,-360.01,178.30,111.63,133.28,133.28,126.01,131.20,622.2,693.8,658.0,2025-02-09
19:00 - 19:15,107.32,180.00,152.98,140.01,140.01,126.20,134.60,548.8,550.3,549.6,2025-02-09
19:15 - 19:30,113.14,166.48,140.00,132.70,132.70,119.40,129.49,481.2,525.6,503.4,2025-02-09
19:30 - 19:45,-361.15,157.56,147.00,130.34,130.34,126.69,128.63,400.4,425.2,412.8,2025-02-09
19:45 - 20:00,-104.76,149.69,123.29,127.67,127.67,125.48,126.80,509.1,570.8,540.0,2025-02-09
20:00 - 20:15,100.10,198.50,107.42,136.75,136.75,136.81,136.79,624.9,604.3,614.6,2025-02-09
20:15 - 20:30,84.66,192.90,125.44,129.52,129.52,125.38,130.91,500.9,522.4,511.7,2025-02-09
20:30 - 20:45,93.52,188.16,155.20,128.32,128.32,119.60,122.75,444.3,536.5,490.4,2025-02-09
20:45 - 21:00,103.00,171.80,161.20,124.78,124.78,116.51,120.52,643.3,757.0,700.2,2025-02-09
21:00 - 21:15,125.57,171.32,159.89,139.94,139.94,137.71,137.52,524.1,594.0,559.1,2025-02-09
21:15 - 21:30,122.06,168.39,141.50,137.83,137.83,141.06,136.24,391.8,454.7,423.3,2025-02-09
21:30 - 21:45,101.94,154.30,130.00,132.71,132.71,133.86,132.76,405.7,421.8,413.8,2025-02-09
21:45 - 22:00,48.58,150.44,107.97,115.52,115.52,113.77,116.56,475.5,426.1,450.8,2025-02-09
22:00 - 22:15,82.71,172.75,144.88,139.91,139.91,139.95,138.56,464.8,468.3,466.6,2025-02-09
22:15 - 22:30,120.51,172.40,159.99,138.61,138.61,137.39,136.01,424.3,461.1,442.7,2025-02-09
22:30 - 22:45,59.82,188.10,158.44,142.40,142.40,137.01,136.44,502.4,544.5,523.5,2025-02-09
22:45 - 23:00,107.57,178.67,150.97,128.77,128.77,125.16,124.91,592.7,562.6,577.7,2025-02-09
23:00 - 23:15,127.97,184.79,159.00,146.90,146.90,155.44,148.72,557.6,627.9,592.8,2025-02-09
23:15 - 23:30,115.44,170.48,133.43,141.57,141.57,146.10,142.70,423.3,498.8,461.1,2025-02-09
23:30 - 23:45,79.60,171.46,89.00,124.39,124.39,135.23,128.66,393.9,424.1,409.0,2025-02-09
23:45 - 24:00,63.01,148.00,64.51,102.75,102.75,103.87,105.95,545.8,558.0,551.9,2025-02-09
