Time Frame,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),ID Full (€/MWh),ID1 (€/MWh),ID3 (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Date
00:00 - 00:15,55.01,122.41,88.00,91.79,91.79,89.25,91.04,434.5,408.7,421.6,2025-02-08
00:15 - 00:30,82.51,130.20,99.70,93.47,93.47,91.46,88.45,394.6,357.8,376.2,2025-02-08
00:30 - 00:45,69.40,150.00,107.49,90.01,90.01,92.75,85.41,442.0,444.8,443.4,2025-02-08
00:45 - 01:00,69.61,118.26,87.20,84.97,84.97,92.74,83.09,678.0,658.6,668.3,2025-02-08
01:00 - 01:15,76.16,128.16,97.38,94.14,94.14,96.62,94.29,338.9,300.9,319.9,2025-02-08
01:15 - 01:30,66.14,155.60,66.14,87.64,87.64,90.29,88.62,317.9,342.1,330.0,2025-02-08
01:30 - 01:45,18.69,89.95,83.20,75.05,75.05,76.88,79.80,442.1,459.3,450.7,2025-02-08
01:45 - 02:00,53.56,123.50,123.50,75.61,75.61,74.52,76.79,506.0,502.8,504.4,2025-02-08
02:00 - 02:15,42.01,151.80,108.99,89.77,89.77,84.33,88.73,276.9,301.1,289.0,2025-02-08
02:15 - 02:30,71.19,170.11,102.60,86.70,86.70,81.24,83.11,302.2,365.4,333.8,2025-02-08
02:30 - 02:45,69.52,133.00,73.41,85.34,85.34,84.38,83.87,299.0,368.9,334.0,2025-02-08
02:45 - 03:00,43.51,158.40,94.00,83.87,83.87,86.40,84.02,345.2,400.5,372.9,2025-02-08
03:00 - 03:15,70.06,162.20,110.70,87.17,87.17,85.09,85.72,241.0,299.3,270.2,2025-02-08
03:15 - 03:30,71.00,147.50,85.00,90.98,90.98,89.33,88.50,202.6,270.0,236.3,2025-02-08
03:30 - 03:45,66.45,109.44,74.60,89.24,89.24,92.96,91.40,285.5,340.1,312.8,2025-02-08
03:45 - 04:00,44.91,101.92,70.65,85.01,85.01,90.86,90.03,378.3,403.9,391.1,2025-02-08
04:00 - 04:15,65.50,320.27,91.21,84.18,84.18,83.23,84.12,272.2,287.5,279.9,2025-02-08
04:15 - 04:30,47.01,97.83,84.57,84.20,84.20,79.81,84.03,234.6,270.8,252.7,2025-02-08
04:30 - 04:45,63.30,125.00,95.00,87.20,87.20,82.42,86.04,247.3,286.1,266.7,2025-02-08
04:45 - 05:00,68.78,159.00,91.00,91.50,91.50,84.95,88.43,350.6,409.1,379.9,2025-02-08
05:00 - 05:15,18.69,97.07,72.60,79.47,79.47,74.91,78.07,395.8,343.0,369.4,2025-02-08
05:15 - 05:30,44.40,97.07,73.90,81.28,81.28,77.47,81.65,330.8,316.5,323.7,2025-02-08
05:30 - 05:45,43.00,116.02,62.90,83.78,83.78,84.87,84.84,339.8,361.6,350.7,2025-02-08
05:45 - 06:00,36.89,105.99,77.00,83.67,83.67,83.90,86.79,479.8,475.6,477.7,2025-02-08
06:00 - 06:15,57.41,156.20,87.00,79.56,79.56,74.68,77.49,616.5,621.0,618.8,2025-02-08
06:15 - 06:30,40.02,105.64,67.37,81.77,81.77,81.16,84.80,387.9,415.9,401.9,2025-02-08
06:30 - 06:45,52.99,112.81,52.99,96.16,96.16,98.22,101.56,360.5,440.8,400.7,2025-02-08
06:45 - 07:00,75.20,130.96,92.51,101.14,101.14,96.72,102.58,551.1,668.0,609.6,2025-02-08
07:00 - 07:15,37.49,101.98,79.00,72.91,72.91,64.68,72.34,562.9,573.7,568.3,2025-02-08
07:15 - 07:30,8.72,154.50,110.89,86.79,86.79,77.58,81.81,507.5,511.7,509.6,2025-02-08
07:30 - 07:45,60.30,156.20,141.09,101.94,101.94,95.39,98.20,565.6,567.9,566.8,2025-02-08
07:45 - 08:00,76.42,178.67,156.00,111.47,111.47,108.89,107.43,913.5,878.5,896.0,2025-02-08
08:00 - 08:15,84.92,165.50,103.00,107.47,107.47,105.71,100.15,588.0,651.1,619.6,2025-02-08
08:15 - 08:30,70.77,123.00,80.00,105.06,105.06,110.57,103.84,696.4,789.0,742.7,2025-02-08
08:30 - 08:45,44.66,183.50,48.50,98.19,98.19,112.90,105.45,747.9,836.1,792.0,2025-02-08
08:45 - 09:00,23.18,109.83,83.00,90.57,90.57,96.70,95.48,908.7,1010.4,959.6,2025-02-08
09:00 - 09:15,63.97,159.00,151.00,105.55,105.55,101.25,101.93,839.5,871.7,855.6,2025-02-08
09:15 - 09:30,80.89,157.40,118.30,98.11,98.11,88.41,91.64,645.9,724.4,685.2,2025-02-08
09:30 - 09:45,73.39,157.49,90.00,91.16,91.16,87.66,86.74,853.6,981.0,917.3,2025-02-08
09:45 - 10:00,53.71,146.80,146.80,79.72,79.72,85.12,77.47,1176.2,1328.0,1252.1,2025-02-08
10:00 - 10:15,54.71,104.58,97.27,87.16,87.16,88.63,86.90,957.7,835.1,896.4,2025-02-08
10:15 - 10:30,27.67,100.48,58.00,78.09,78.09,79.50,80.97,779.5,757.4,768.5,2025-02-08
10:30 - 10:45,35.04,86.60,44.00,68.79,68.79,70.91,73.40,990.7,1033.0,1011.9,2025-02-08
10:45 - 11:00,10.59,78.36,49.98,58.31,58.31,52.97,58.45,1210.7,1327.0,1268.9,2025-02-08
11:00 - 11:15,37.43,98.20,71.90,69.62,69.62,57.54,69.67,805.1,784.9,795.0,2025-02-08
11:15 - 11:30,46.76,98.29,59.21,71.95,71.95,71.85,70.35,787.4,772.9,780.2,2025-02-08
11:30 - 11:45,36.03,115.31,72.40,63.50,63.50,63.49,62.59,968.2,988.4,978.3,2025-02-08
11:45 - 12:00,17.14,102.29,34.00,53.80,53.80,55.53,52.38,1170.2,1149.6,1159.9,2025-02-08
12:00 - 12:15,-19.68,88.81,-5.48,55.90,55.90,54.35,60.68,774.7,744.7,759.7,2025-02-08
12:15 - 12:30,-37.26,90.00,4.70,46.92,46.92,47.69,57.47,887.2,860.8,874.0,2025-02-08
12:30 - 12:45,-357.34,71.71,13.97,43.63,43.63,33.69,48.96,1036.0,972.3,1004.2,2025-02-08
12:45 - 13:00,-35.13,75.15,4.99,42.28,42.28,23.91,46.93,1185.4,1116.1,1150.8,2025-02-08
13:00 - 13:15,-104.91,82.80,0.01,39.01,39.01,25.26,45.49,918.4,904.3,911.4,2025-02-08
13:15 - 13:30,-12.90,81.60,20.72,43.69,43.69,24.81,46.06,885.6,851.5,868.6,2025-02-08
13:30 - 13:45,4.10,89.99,83.75,53.73,53.73,23.24,47.08,918.1,854.2,886.2,2025-02-08
13:45 - 14:00,15.79,102.50,87.90,65.26,65.26,38.47,56.51,1184.7,1091.0,1137.9,2025-02-08
14:00 - 14:15,0.68,97.30,71.08,49.49,49.49,36.64,39.80,1210.1,1191.1,1200.6,2025-02-08
14:15 - 14:30,0.10,87.86,46.00,64.49,64.49,65.04,60.31,1053.1,1003.0,1028.1,2025-02-08
14:30 - 14:45,26.46,105.06,66.17,77.86,77.86,84.76,82.07,1033.6,949.9,991.8,2025-02-08
14:45 - 15:00,32.21,120.99,71.80,92.16,92.16,86.98,91.23,1325.9,1296.2,1311.1,2025-02-08
15:00 - 15:15,14.77,120.34,76.80,58.18,58.18,49.83,51.28,1122.8,1252.4,1187.6,2025-02-08
15:15 - 15:30,25.90,117.00,72.00,83.14,83.14,75.91,79.75,1035.9,1072.8,1054.4,2025-02-08
15:30 - 15:45,69.83,141.00,83.90,112.79,112.79,110.67,112.25,872.0,1007.3,939.7,2025-02-08
15:45 - 16:00,76.00,153.70,89.50,128.65,128.65,125.36,127.53,1273.0,1403.7,1338.4,2025-02-08
16:00 - 16:15,-500.00,107.97,18.11,72.87,72.87,65.65,76.43,1246.2,1200.5,1223.4,2025-02-08
16:15 - 16:30,46.10,144.37,109.00,105.06,105.06,101.36,104.35,676.6,682.3,679.5,2025-02-08
16:30 - 16:45,95.60,172.21,118.10,129.41,129.41,117.84,126.89,674.5,776.7,725.6,2025-02-08
16:45 - 17:00,114.55,178.67,128.11,149.62,149.62,143.21,146.78,914.8,1016.6,965.7,2025-02-08
17:00 - 17:15,112.26,164.50,149.00,131.32,131.32,136.65,126.72,693.1,846.2,769.7,2025-02-08
17:15 - 17:30,97.08,161.74,115.20,140.28,140.28,144.79,141.27,647.0,741.0,694.0,2025-02-08
17:30 - 17:45,69.21,175.29,80.00,132.87,132.87,144.25,142.95,785.5,832.2,808.9,2025-02-08
17:45 - 18:00,20.15,178.67,55.00,129.41,129.41,138.70,142.98,1027.5,1015.5,1021.5,2025-02-08
18:00 - 18:15,70.51,176.61,128.50,134.78,134.78,128.59,137.78,630.3,637.1,633.7,2025-02-08
18:15 - 18:30,66.68,171.07,75.00,125.62,125.62,108.76,124.30,547.2,642.4,594.8,2025-02-08
18:30 - 18:45,20.14,170.51,67.00,113.79,113.79,108.00,122.14,669.7,711.4,690.6,2025-02-08
18:45 - 19:00,84.58,168.42,116.30,112.74,112.74,100.84,113.03,865.1,889.4,877.3,2025-02-08
19:00 - 19:15,96.10,197.34,118.70,136.90,136.90,120.74,134.75,636.9,681.5,659.2,2025-02-08
19:15 - 19:30,84.50,174.15,92.30,125.47,125.47,110.65,122.50,695.2,763.9,729.6,2025-02-08
19:30 - 19:45,-55.77,171.62,153.99,123.65,123.65,120.18,123.94,959.8,1014.9,987.4,2025-02-08
19:45 - 20:00,90.03,178.57,138.26,129.59,129.59,116.77,119.92,978.9,1136.3,1057.6,2025-02-08
20:00 - 20:15,91.41,176.67,113.61,133.86,133.86,128.51,129.34,883.0,900.9,892.0,2025-02-08
20:15 - 20:30,87.60,169.00,116.39,126.92,126.92,130.34,125.85,749.3,824.0,786.7,2025-02-08
20:30 - 20:45,95.74,159.62,139.90,125.58,125.58,120.89,123.52,648.9,761.6,705.3,2025-02-08
20:45 - 21:00,98.11,168.22,130.00,119.75,119.75,116.43,115.09,796.9,899.1,848.0,2025-02-08
21:00 - 21:15,95.65,354.41,149.99,125.65,125.65,111.77,120.03,603.7,754.4,679.1,2025-02-08
21:15 - 21:30,100.06,160.61,135.75,121.34,121.34,110.12,114.12,536.1,673.6,604.9,2025-02-08
21:30 - 21:45,104.80,188.90,124.10,125.57,125.57,125.55,119.43,489.8,609.5,549.7,2025-02-08
21:45 - 22:00,100.82,178.60,124.21,117.95,117.95,126.48,115.70,632.7,718.4,675.6,2025-02-08
22:00 - 22:15,100.83,164.68,135.66,133.85,133.85,139.39,133.19,474.5,554.6,514.6,2025-02-08
22:15 - 22:30,97.00,150.51,109.15,127.59,127.59,129.99,128.72,452.8,521.8,487.3,2025-02-08
22:30 - 22:45,104.08,174.18,122.70,126.93,126.93,126.54,127.85,481.7,615.6,548.7,2025-02-08
22:45 - 23:00,91.92,161.62,124.20,124.32,124.32,129.36,127.65,473.5,584.0,528.8,2025-02-08
23:00 - 23:15,81.52,186.20,168.17,130.37,130.37,126.10,129.98,429.0,450.5,439.8,2025-02-08
23:15 - 23:30,90.47,168.01,125.00,119.91,119.91,109.10,116.45,364.0,407.0,385.5,2025-02-08
23:30 - 23:45,91.07,164.14,97.64,114.52,114.52,109.82,115.14,377.9,419.0,398.5,2025-02-08
23:45 - 24:00,77.98,160.38,92.02,103.66,103.66,99.14,104.60,528.9,517.3,523.1,2025-02-08
