Time_Frame,Low,High,Last,Weight_Avg,ID_Full,ID1,ID3,Buy_Volume,Sell_Volume,Volume,Date
21:30 - 21:45,130.54,166.23,163.00,155.90,155.90,162.29,162.29,175.1,189.5,182.3,2025-02-11
21:45 - 22:00,122.99,144.32,144.29,132.84,132.84,132.38,132.38,179.6,167.4,173.5,2025-02-11
22:00 - 22:15,123.20,160.37,142.44,146.10,146.10,137.79,137.79,174.4,153.9,164.2,2025-02-11
22:15 - 22:30,121.16,230.00,198.00,148.53,148.53,127.89,127.89,207.0,200.5,203.8,2025-02-11
22:30 - 22:45,20.00,285.48,240.00,172.88,172.88,149.08,149.08,358.5,358.6,358.6,2025-02-11
22:45 - 23:00,75.68,227.38,180.97,144.19,144.19,130.97,130.97,585.3,575.9,580.6,2025-02-11
23:00 - 23:15,112.70,347.60,179.46,170.44,170.44,169.56,169.56,427.2,515.4,471.3,2025-02-11
23:15 - 23:30,105.51,223.84,120.30,144.84,144.84,165.50,154.46,529.1,582.3,555.7,2025-02-11
23:30 - 23:45,84.65,197.21,120.13,139.16,139.16,159.42,150.65,557.5,539.0,548.3,2025-02-11
23:45 - 24:00,82.30,157.50,102.00,120.03,120.03,130.29,126.55,745.6,629.7,687.7,2025-02-11
