Time_Frame,Low,High,Last,Weight_Avg,ID_Full,ID1,ID3,Buy_Volume,Sell_Volume,Volume,Date
00:00 - 00:15,70.59,185.80,71.89,124.95,124.95,121.89,134.08,438.9,443.9,441.4,2025-02-12
00:15 - 00:30,73.38,164.51,83.06,121.39,121.39,116.55,127.34,478.0,503.3,490.7,2025-02-12
00:30 - 00:45,29.60,153.06,111.99,106.43,106.43,103.19,111.31,453.3,499.4,476.4,2025-02-12
00:45 - 01:00,-0.99,137.78,30.48,96.04,96.04,90.11,100.17,499.3,549.2,524.3,2025-02-12
01:00 - 01:15,17.30,160.00,89.34,113.95,113.95,106.54,118.23,414.7,425.1,419.9,2025-02-12
01:15 - 01:30,62.81,147.50,88.20,107.07,107.07,99.96,110.54,437.4,458.4,447.9,2025-02-12
01:30 - 01:45,52.50,136.14,87.74,99.68,99.68,91.72,104.12,480.5,515.4,498.0,2025-02-12
01:45 - 02:00,64.09,159.68,65.10,95.49,95.49,83.09,97.79,677.0,691.4,684.2,2025-02-12
02:00 - 02:15,-13.71,151.89,128.58,107.49,107.49,98.74,112.16,367.9,385.6,376.8,2025-02-12
02:15 - 02:30,37.71,133.15,70.00,94.88,94.88,86.59,100.25,351.9,383.5,367.7,2025-02-12
02:30 - 02:45,-25.12,134.80,123.90,97.69,97.69,83.96,98.78,405.4,428.4,416.9,2025-02-12
02:45 - 03:00,63.26,136.68,123.16,94.49,94.49,73.16,89.02,517.6,547.1,532.4,2025-02-12
03:00 - 03:15,80.66,141.51,120.02,109.01,109.01,91.51,103.12,445.2,427.9,436.6,2025-02-12
03:15 - 03:30,78.80,143.99,81.00,105.91,105.91,101.50,102.65,394.8,406.8,400.8,2025-02-12
03:30 - 03:45,0.01,157.49,62.23,96.87,96.87,112.99,105.42,490.3,452.5,471.4,2025-02-12
03:45 - 04:00,23.41,140.13,56.49,89.85,89.85,85.56,91.96,722.6,650.6,686.6,2025-02-12
04:00 - 04:15,50.93,140.78,77.50,95.69,95.69,79.77,96.09,735.6,596.7,666.2,2025-02-12
04:15 - 04:30,52.02,195.10,97.99,95.94,95.94,75.18,92.37,534.9,461.2,498.1,2025-02-12
04:30 - 04:45,72.52,150.09,110.00,100.03,100.03,82.63,95.23,495.0,437.0,466.0,2025-02-12
04:45 - 05:00,-14.50,147.20,80.00,100.49,100.49,85.80,96.28,739.4,652.6,696.0,2025-02-12
05:00 - 05:15,-880.10,148.59,132.50,98.16,98.16,83.58,91.91,556.8,624.0,590.4,2025-02-12
05:15 - 05:30,-129.43,158.46,119.63,102.54,102.54,88.76,95.66,540.7,588.7,564.7,2025-02-12
05:30 - 05:45,-14.80,170.41,135.00,117.26,117.26,116.54,113.51,513.7,527.4,520.6,2025-02-12
05:45 - 06:00,119.09,204.70,134.80,136.59,136.59,145.11,135.94,605.5,632.0,618.8,2025-02-12
06:00 - 06:15,21.48,229.70,150.00,106.50,106.50,107.49,101.78,732.8,962.8,847.8,2025-02-12
06:15 - 06:30,40.47,170.00,170.00,119.00,119.00,113.51,118.33,486.4,553.2,519.8,2025-02-12
06:30 - 06:45,68.50,192.33,100.00,136.39,136.39,147.11,145.29,568.0,615.5,591.8,2025-02-12
06:45 - 07:00,86.21,191.77,133.20,145.47,145.47,149.39,147.34,931.8,942.7,937.3,2025-02-12
07:00 - 07:15,65.60,167.50,123.64,115.10,115.10,101.45,108.48,794.9,681.9,738.4,2025-02-12
07:15 - 07:30,115.50,225.50,174.00,150.27,150.27,144.42,145.95,473.8,471.8,472.8,2025-02-12
07:30 - 07:45,106.81,189.89,141.43,160.83,160.83,148.23,154.78,567.9,651.5,609.7,2025-02-12
07:45 - 08:00,139.07,208.76,170.10,167.59,167.59,161.03,162.12,656.2,720.1,688.2,2025-02-12
08:00 - 08:15,122.13,217.30,146.83,167.74,167.74,166.71,163.35,557.3,547.2,552.3,2025-02-12
08:15 - 08:30,148.50,235.74,155.00,176.24,176.24,181.07,177.34,527.0,598.6,562.8,2025-02-12
08:30 - 08:45,-50.00,201.84,146.90,172.55,172.55,181.84,177.54,687.8,730.2,709.0,2025-02-12
08:45 - 09:00,-50.00,192.61,159.74,168.98,168.98,176.02,175.74,771.9,776.2,774.1,2025-02-12
09:00 - 09:15,132.49,234.00,186.82,179.06,179.06,178.05,184.06,696.2,747.9,722.1,2025-02-12
09:15 - 09:30,145.57,225.55,195.00,176.28,176.28,167.67,173.97,680.3,752.7,716.5,2025-02-12
09:30 - 09:45,134.30,188.82,160.00,157.59,157.59,148.58,157.05,773.8,724.3,749.1,2025-02-12
09:45 - 10:00,105.61,179.54,135.00,142.24,142.24,132.95,142.44,950.7,811.7,881.2,2025-02-12
10:00 - 10:15,113.00,189.88,136.90,161.71,161.71,156.46,167.16,716.2,682.1,699.2,2025-02-12
10:15 - 10:30,47.05,191.66,95.10,141.92,141.92,144.49,154.10,684.1,669.9,677.0,2025-02-12
10:30 - 10:45,64.78,166.90,72.90,131.48,131.48,134.08,145.95,853.6,815.8,834.7,2025-02-12
10:45 - 11:00,62.06,160.42,134.00,130.15,130.15,119.30,130.42,1128.9,1112.3,1120.6,2025-02-12
11:00 - 11:15,116.18,185.01,147.80,151.61,151.61,140.95,150.17,670.2,666.9,668.6,2025-02-12
11:15 - 11:30,55.00,169.97,55.00,138.01,138.01,128.97,142.86,627.4,668.0,647.7,2025-02-12
11:30 - 11:45,69.02,159.65,80.43,124.99,124.99,130.43,134.15,826.0,769.9,798.0,2025-02-12
11:45 - 12:00,55.01,192.70,80.00,118.47,118.47,119.67,123.71,1056.5,1012.5,1034.5,2025-02-12
12:00 - 12:15,79.91,188.60,188.60,133.74,133.74,126.23,133.69,601.1,502.5,551.8,2025-02-12
12:15 - 12:30,116.53,216.08,167.50,140.77,140.77,128.15,133.82,668.3,688.9,678.6,2025-02-12
12:30 - 12:45,89.34,207.50,138.00,141.05,141.05,135.42,136.12,694.0,678.4,686.2,2025-02-12
12:45 - 13:00,95.08,174.19,139.00,134.96,134.96,138.28,134.73,829.1,816.2,822.7,2025-02-12
13:00 - 13:15,111.75,164.00,127.00,138.88,138.88,136.41,135.91,736.7,704.2,720.5,2025-02-12
13:15 - 13:30,-160.40,198.59,160.21,139.50,139.50,130.41,134.38,700.3,675.8,688.1,2025-02-12
13:30 - 13:45,127.05,205.46,157.81,146.50,146.50,140.17,139.40,715.9,735.6,725.8,2025-02-12
13:45 - 14:00,119.45,240.73,178.72,145.60,145.60,137.56,136.24,854.5,881.3,867.9,2025-02-12
14:00 - 14:15,103.22,194.11,145.00,137.33,137.33,132.30,129.64,817.4,745.8,781.6,2025-02-12
14:15 - 14:30,125.81,214.20,197.25,150.48,150.48,147.26,140.85,603.5,546.1,574.8,2025-02-12
14:30 - 14:45,138.31,277.49,179.94,164.98,164.98,164.19,156.91,858.0,750.0,804.0,2025-02-12
14:45 - 15:00,148.20,314.94,180.00,175.62,175.62,178.30,166.33,937.0,841.6,889.3,2025-02-12
15:00 - 15:15,127.10,215.89,158.05,155.27,155.27,160.28,153.00,719.6,649.2,684.4,2025-02-12
15:15 - 15:30,115.00,414.26,128.77,164.14,164.14,193.32,177.20,688.9,638.8,663.9,2025-02-12
15:30 - 15:45,138.63,251.89,198.60,181.87,181.87,195.82,189.25,792.4,742.7,767.6,2025-02-12
15:45 - 16:00,149.00,239.09,199.80,199.39,199.39,195.37,202.37,1225.0,1186.7,1205.9,2025-02-12
16:00 - 16:15,124.40,174.99,130.01,160.98,160.98,158.34,161.07,967.6,921.5,944.6,2025-02-12
16:15 - 16:30,108.20,196.08,120.26,171.84,171.84,177.52,179.90,647.6,660.6,654.1,2025-02-12
16:30 - 16:45,136.21,219.64,170.00,187.38,187.38,185.14,191.48,772.2,864.7,818.5,2025-02-12
16:45 - 17:00,156.01,278.83,200.00,199.60,199.60,194.58,198.96,1122.0,1214.6,1168.3,2025-02-12
17:00 - 17:15,144.91,215.91,190.70,178.12,178.12,185.07,177.85,671.6,759.9,715.8,2025-02-12
17:15 - 17:30,145.69,242.19,168.00,193.34,193.34,206.14,199.05,617.1,644.1,630.6,2025-02-12
17:30 - 17:45,168.50,239.10,181.70,203.54,203.54,208.73,209.83,807.0,812.9,810.0,2025-02-12
17:45 - 18:00,150.82,270.79,194.99,218.56,218.56,204.86,223.78,947.6,968.5,958.1,2025-02-12
18:00 - 18:15,139.20,810.50,190.00,205.07,205.07,199.35,211.47,574.2,541.9,558.1,2025-02-12
18:15 - 18:30,162.70,539.50,212.00,205.30,205.30,187.16,206.51,597.0,612.7,604.9,2025-02-12
18:30 - 18:45,158.20,291.84,207.12,216.03,216.03,195.94,222.27,586.6,658.6,622.6,2025-02-12
18:45 - 19:00,155.12,500.00,155.12,213.85,213.85,204.82,218.99,747.2,816.6,781.9,2025-02-12
19:00 - 19:15,166.00,389.09,231.69,243.35,243.35,233.66,255.15,713.4,861.2,787.3,2025-02-12
19:15 - 19:30,137.91,306.19,239.00,212.92,212.92,200.74,213.63,656.0,763.9,710.0,2025-02-12
19:30 - 19:45,158.01,322.09,250.00,206.85,206.85,215.71,205.70,677.0,746.7,711.9,2025-02-12
19:45 - 20:00,101.31,1500.00,207.80,200.00,200.00,211.85,200.37,949.6,966.9,958.3,2025-02-12
20:00 - 20:15,-129.80,272.66,146.10,218.81,218.81,209.74,223.97,886.7,972.3,929.5,2025-02-12
20:15 - 20:30,146.11,215.59,153.15,188.56,188.56,180.61,191.76,723.6,788.9,756.3,2025-02-12
20:30 - 20:45,-500.00,191.90,118.07,172.49,172.49,168.07,174.83,711.6,822.3,767.0,2025-02-12
20:45 - 21:00,-159.90,182.78,128.77,160.44,160.44,154.67,163.20,873.0,965.5,919.3,2025-02-12
21:00 - 21:15,142.51,210.60,142.51,186.41,186.41,176.92,189.69,488.7,493.7,491.2,2025-02-12
21:15 - 21:30,-111.60,757.70,155.00,163.65,163.65,148.50,165.64,483.6,510.5,497.1,2025-02-12
21:30 - 21:45,128.10,204.91,187.00,164.25,164.25,150.03,159.21,537.6,559.1,548.4,2025-02-12
21:45 - 22:00,118.25,221.17,165.00,148.63,148.63,143.62,144.45,732.8,784.1,758.5,2025-02-12
22:00 - 22:15,125.01,401.93,190.00,175.44,175.44,184.60,174.50,499.7,568.7,534.2,2025-02-12
22:15 - 22:30,125.02,259.64,186.00,168.42,168.42,174.67,168.56,409.8,464.1,437.0,2025-02-12
22:30 - 22:45,-129.50,174.97,158.00,160.79,160.79,161.51,161.62,399.1,450.0,424.6,2025-02-12
22:45 - 23:00,125.02,173.89,150.61,149.49,149.49,151.35,151.80,576.1,676.2,626.2,2025-02-12
23:00 - 23:15,85.30,182.92,124.80,151.09,151.09,151.51,155.78,738.0,697.4,717.7,2025-02-12
23:15 - 23:30,-128.20,195.20,151.24,148.48,148.48,142.00,146.30,573.1,537.2,555.2,2025-02-12
23:30 - 23:45,-500.00,222.01,185.00,144.25,144.25,138.48,139.96,579.1,531.5,555.3,2025-02-12
23:45 - 24:00,80.00,209.67,146.80,132.80,132.80,132.29,130.62,987.6,972.5,980.1,2025-02-12
