Time_Frame,Low,High,Last,Weight_Avg,ID_Full,ID1,ID3,Buy_Volume,Sell_Volume,Volume,Date
00:00 - 00:15,103.92,187.59,128.40,147.28,147.28,141.87,149.03,405.4,401.7,403.6,2025-02-13
00:15 - 00:30,120.38,206.88,180.00,143.90,143.90,134.76,139.24,375.9,343.6,359.8,2025-02-13
00:30 - 00:45,112.27,191.14,144.30,138.99,138.99,135.04,135.20,405.9,412.3,409.1,2025-02-13
00:45 - 01:00,98.80,221.98,120.01,129.94,129.94,129.30,127.52,656.3,613.2,634.8,2025-02-13
01:00 - 01:15,106.82,387.02,123.88,147.05,147.05,149.01,148.92,287.1,279.8,283.5,2025-02-13
01:15 - 01:30,117.17,219.35,150.00,140.85,140.85,142.74,139.14,294.2,327.7,311.0,2025-02-13
01:30 - 01:45,104.40,295.29,105.50,142.32,142.32,144.54,139.25,393.6,423.5,408.6,2025-02-13
01:45 - 02:00,108.19,185.19,127.00,137.78,137.78,145.79,138.37,530.8,502.7,516.8,2025-02-13
02:00 - 02:15,-7.89,193.40,143.70,153.41,153.41,156.86,156.22,361.3,305.3,333.3,2025-02-13
02:15 - 02:30,116.60,218.30,200.00,150.21,150.21,144.30,146.95,281.4,263.1,272.3,2025-02-13
02:30 - 02:45,114.65,170.96,162.20,143.90,143.90,140.30,140.89,398.4,346.6,372.5,2025-02-13
02:45 - 03:00,110.02,173.49,139.80,140.60,140.60,145.28,138.25,439.7,356.2,398.0,2025-02-13
03:00 - 03:15,113.91,219.20,158.10,159.51,159.51,173.37,161.21,349.5,424.3,386.9,2025-02-13
03:15 - 03:30,110.10,199.80,151.00,152.30,152.30,164.33,155.42,330.4,339.8,335.1,2025-02-13
03:30 - 03:45,35.10,199.94,161.67,154.87,154.87,162.25,155.16,338.1,383.3,360.7,2025-02-13
03:45 - 04:00,116.52,182.86,145.60,150.16,150.16,157.97,153.08,447.2,480.0,463.6,2025-02-13
04:00 - 04:15,125.40,196.04,155.00,151.48,151.48,153.17,155.00,446.8,425.2,436.0,2025-02-13
04:15 - 04:30,122.32,188.40,155.18,150.29,150.29,147.73,153.18,395.8,361.2,378.5,2025-02-13
04:30 - 04:45,92.41,178.30,114.48,151.29,151.29,147.48,152.83,419.8,402.9,411.4,2025-02-13
04:45 - 05:00,-34.67,227.99,116.30,150.81,150.81,147.69,154.23,517.8,517.6,517.7,2025-02-13
05:00 - 05:15,85.44,188.69,119.01,150.13,150.13,150.50,153.81,615.0,634.7,624.9,2025-02-13
05:15 - 05:30,92.96,227.06,115.50,144.57,144.57,137.88,147.40,589.9,573.3,581.6,2025-02-13
05:30 - 05:45,-128.73,169.98,92.49,146.90,146.90,141.12,149.97,658.5,682.4,670.5,2025-02-13
05:45 - 06:00,88.09,243.11,117.40,151.68,151.68,133.66,149.84,862.4,808.3,835.4,2025-02-13
06:00 - 06:15,120.01,273.20,150.00,147.44,147.44,140.54,151.29,810.7,1013.7,912.2,2025-02-13
06:15 - 06:30,120.80,197.54,120.80,168.04,168.04,170.80,165.77,624.9,584.5,604.7,2025-02-13
06:30 - 06:45,-13.08,273.20,179.40,186.88,186.88,170.98,179.34,769.9,720.3,745.1,2025-02-13
06:45 - 07:00,110.05,276.20,182.80,213.56,213.56,187.09,195.25,976.8,1041.7,1009.3,2025-02-13
07:00 - 07:15,125.30,223.31,176.44,183.93,183.93,178.65,178.16,727.4,810.0,768.7,2025-02-13
07:15 - 07:30,158.02,276.00,219.44,209.16,209.16,196.66,199.81,577.1,588.2,582.7,2025-02-13
07:30 - 07:45,169.11,295.23,228.10,221.04,221.04,198.43,210.78,631.5,656.7,644.1,2025-02-13
07:45 - 08:00,125.75,361.35,145.00,230.60,230.60,218.54,224.54,1035.1,1058.6,1046.9,2025-02-13
08:00 - 08:15,157.90,3267.13,207.90,229.13,229.13,219.93,224.65,605.7,524.2,565.0,2025-02-13
08:15 - 08:30,160.21,356.95,180.00,227.09,227.09,205.06,220.55,634.1,553.1,593.6,2025-02-13
08:30 - 08:45,157.02,337.17,218.20,227.08,227.08,205.45,218.30,707.1,667.2,687.2,2025-02-13
