Time Frame,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),ID Full (€/MWh),ID1 (€/MWh),ID3 (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Date
00:00 - 00:15,107.90,168.35,128.04,134.37,134.37,126.69,133.55,382.7,338.4,360.6,2025-02-06
00:15 - 00:30,103.71,166.02,106.66,126.93,126.93,124.54,125.56,352.1,272.5,312.3,2025-02-06
00:30 - 00:45,102.85,149.89,107.03,120.99,120.99,118.48,119.25,417.6,369.5,393.6,2025-02-06
00:45 - 01:00,95.52,136.49,104.78,114.71,114.71,113.62,112.99,564.2,489.1,526.7,2025-02-06
01:00 - 01:15,96.01,163.84,129.55,131.42,131.42,126.21,130.80,268.2,271.1,269.7,2025-02-06
01:15 - 01:30,96.95,149.49,103.00,121.57,121.57,119.17,121.49,235.2,211.3,223.3,2025-02-06
01:30 - 01:45,7.00,135.13,100.00,119.80,119.80,117.23,117.85,367.9,324.0,346.0,2025-02-06
01:45 - 02:00,92.38,151.66,114.00,115.53,115.53,117.64,114.10,601.6,570.0,585.8,2025-02-06
02:00 - 02:15,88.38,147.28,118.28,125.44,125.44,119.30,124.47,256.9,254.3,255.6,2025-02-06
02:15 - 02:30,90.34,192.60,133.70,117.85,117.85,109.10,114.06,338.1,336.5,337.3,2025-02-06
02:30 - 02:45,70.30,150.97,150.63,113.67,113.67,111.55,111.77,388.9,329.8,359.4,2025-02-06
02:45 - 03:00,90.32,201.88,131.62,110.06,110.06,110.78,106.77,460.4,369.7,415.1,2025-02-06
03:00 - 03:15,103.64,189.39,125.00,123.46,123.46,120.29,121.01,242.1,244.0,243.1,2025-02-06
03:15 - 03:30,95.90,141.27,121.00,118.52,118.52,117.64,116.58,297.9,270.9,284.4,2025-02-06
03:30 - 03:45,96.36,193.33,118.02,118.89,118.89,121.47,116.82,403.3,383.5,393.4,2025-02-06
03:45 - 04:00,98.09,255.26,115.00,118.30,118.30,121.55,116.95,443.6,396.5,420.1,2025-02-06
04:00 - 04:15,94.38,213.00,126.00,118.25,118.25,117.60,116.73,403.5,386.5,395.0,2025-02-06
04:15 - 04:30,89.67,213.80,165.08,119.70,119.70,117.76,117.22,354.6,357.6,356.1,2025-02-06
04:30 - 04:45,97.63,225.99,155.00,127.08,127.08,122.86,121.71,284.7,313.5,299.1,2025-02-06
