Time_Frame,Low,High,Last,Weight_Avg,ID_Full,ID1,ID3,Buy_Volume,Sell_Volume,Volume,Date
12:45 - 13:00,124.93,102.0,105.21,105.21,107.28,104.59,972.2,1001.3,986.8,2025-02-02
13:00 - 13:15,130.34,62.9,101.88,101.88,105.34,104.35,669.6,622.3,646.0,2025-02-02
13:15 - 13:30,125.09,47.9,97.96,97.96,104.86,105.58,597.9,553.4,575.7,2025-02-02
13:30 - 13:45,118.6,0.1,81.39,81.39,91.49,100.16,792.5,741.7,767.1,2025-02-02
13:45 - 14:00,137.58,12.3,84.58,84.58,84.96,98.67,967.8,997.3,982.6,2025-02-02
14:00 - 14:15,115.42,38.67,87.82,87.82,72.65,89.95,983.8,965.9,974.9,2025-02-02
14:15 - 14:30,117.5,63.0,102.12,102.12,97.83,102.65,921.0,948.9,935.0,2025-02-02
14:30 - 14:45,138.33,127.0,110.51,110.51,100.55,109.64,781.1,763.0,772.1,2025-02-02
14:45 - 15:00,147.1,89.24,126.12,126.12,115.5,125.72,1140.0,1141.5,1140.8,2025-02-02
15:00 - 15:15,147.1,54.39,114.61,114.61,114.41,114.235,976.05,1030.0,1003.05,2025-02-02
15:15 - 15:30,126.97,19.54,103.1,103.1,113.32,102.75,812.1,918.5,865.3,2025-02-02
15:30 - 15:45,148.69,90.33,124.24,124.24,128.94,132.74,680.8,803.4,742.1,2025-02-02
15:45 - 16:00,165.64,144.0,147.02,147.02,142.96,148.58,1076.6,1232.0,1154.3,2025-02-02
16:00 - 16:15,158.94,112.73,110.14,110.14,99.0,108.61,930.9,919.5,925.2,2025-02-02
16:15 - 16:30,186.9,118.0,130.79,130.79,129.93,129.55,640.2,699.5,669.9,2025-02-02
16:30 - 16:45,257.22,159.1,160.71,160.71,166.59,160.04,629.4,749.9,689.7,2025-02-02
16:45 - 17:00,193.25,174.43,171.83,171.83,168.31,170.44,1021.0,1234.5,1127.8,2025-02-02
17:00 - 17:15,168.0,115.0,142.6,142.6,140.97,145.03,401.4,534.4,467.9,2025-02-02
17:15 - 17:30,181.43,132.7,154.2,154.2,151.78,156.76,339.0,408.9,374.0,2025-02-02
17:30 - 17:45,383.62,153.6,169.52,169.52,160.94,169.46,490.9,554.3,522.6,2025-02-02
17:45 - 18:00,250.88,165.21,173.4,173.4,165.04,170.75,665.5,728.0,696.8,2025-02-02
18:00 - 18:15,271.09,152.15,167.88,167.88,169.08,169.13,289.1,316.0,302.6,2025-02-02
18:15 - 18:30,350.0,155.0,167.97,167.97,164.32,167.08,282.7,313.7,298.2,2025-02-02
18:30 - 18:45,208.41,167.3,168.02,168.02,162.38,167.38,298.5,400.4,349.5,2025-02-02
18:45 - 19:00,192.67,140.0,166.33,166.33,162.92,167.59,405.0,550.0,477.5,2025-02-02
19:00 - 19:15,260.92,139.39,173.13,173.13,169.17,174.9,357.5,506.4,432.0,2025-02-02
19:15 - 19:30,195.77,125.56,167.34,167.34,167.71,168.56,354.6,472.6,413.6,2025-02-02
19:30 - 19:45,194.69,107.55,159.78,159.78,157.55,164.33,336.8,482.1,409.5,2025-02-02
