Time Frame,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),ID Full (€/MWh),ID1 (€/MWh),ID3 (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Date
16:00 - 16:15,127.70,172.84,163.33,160.68,76.4,80.8,78.6,,,,2025-02-10
16:15 - 16:30,151.51,190.30,177.09,175.80,38.4,63.0,50.7,,,,2025-02-10
16:30 - 16:45,165.50,197.00,195.01,190.45,38.2,82.8,60.5,,,,2025-02-10
16:45 - 17:00,189.95,207.95,199.77,198.11,41.7,111.3,76.5,,,,2025-02-10
17:00 - 17:15,150.02,179.52,176.21,172.70,17.9,41.5,29.7,,,,2025-02-10
17:15 - 17:30,145.69,192.95,191.78,186.32,20.0,53.3,36.7,,,,2025-02-10
17:30 - 17:45,184.71,213.60,204.23,197.39,30.0,68.8,49.4,,,,2025-02-10
17:45 - 18:00,163.11,239.15,219.20,210.57,35.6,69.5,52.6,,,,2025-02-10
18:00 - 18:15,186.95,810.50,205.95,204.07,50.9,41.5,46.2,,,,2025-02-10
18:15 - 18:30,188.00,539.50,210.87,202.94,35.5,40.7,38.1,,,,2025-02-10
18:30 - 18:45,158.20,217.24,212.32,205.61,24.8,42.2,33.5,,,,2025-02-10
18:45 - 19:00,185.00,500.00,209.66,201.92,48.3,59.6,54.0,,,,2025-02-10
19:00 - 19:15,208.00,239.70,225.50,216.96,27.6,45.8,36.7,,,,2025-02-10
19:15 - 19:30,179.10,213.91,207.00,200.41,25.9,50.4,38.2,,,,2025-02-10
19:30 - 19:45,177.27,197.40,193.55,190.53,16.6,39.9,28.3,,,,2025-02-10
19:45 - 20:00,153.67,187.72,185.05,179.31,32.7,31.3,32.0,,,,2025-02-10
20:00 - 20:15,-129.80,218.71,211.00,202.70,43.8,84.3,64.1,,,,2025-02-10
20:15 - 20:30,167.66,194.42,189.66,183.39,22.9,41.4,32.2,,,,2025-02-10
20:30 - 20:45,127.80,175.60,170.73,167.48,21.8,31.1,26.5,,,,2025-02-10
20:45 - 21:00,-159.90,168.29,158.30,155.20,17.9,50.1,34.0,,,,2025-02-10
21:00 - 21:15,147.43,196.63,177.28,174.95,14.7,43.8,29.3,,,,2025-02-10
