Time_Frame,Low,High,Last,Weight_Avg,ID_Full,ID1,ID3,Buy_Volume,Sell_Volume,Volume,Date
00:00 - 00:15,119.19,159.98,149.00,143.74,143.74,146.62,145.13,433.7,419.7,426.7,2025-02-14
00:15 - 00:30,102.57,151.67,119.10,136.67,136.67,133.72,137.94,324.2,334.0,329.1,2025-02-14
00:30 - 00:45,111.13,325.59,140.00,127.82,127.82,124.76,125.33,352.4,311.9,332.2,2025-02-14
00:45 - 01:00,91.09,157.17,143.01,113.43,113.43,112.31,108.50,607.2,498.9,553.1,2025-02-14
01:00 - 01:15,-500.00,205.39,127.60,144.03,144.03,147.76,143.22,316.0,361.3,338.7,2025-02-14
01:15 - 01:30,117.95,260.38,122.50,130.41,130.41,131.21,130.44,309.9,311.0,310.5,2025-02-14
01:30 - 01:45,79.28,236.27,105.20,123.62,123.62,124.40,123.67,365.3,357.5,361.4,2025-02-14
01:45 - 02:00,97.51,142.62,120.00,117.73,117.73,118.87,115.47,453.6,398.3,426.0,2025-02-14
02:00 - 02:15,102.45,149.94,127.90,134.51,134.51,131.67,136.28,311.2,294.8,303.0,2025-02-14
02:15 - 02:30,112.50,199.99,140.00,122.77,122.77,119.16,120.68,327.2,266.7,297.0,2025-02-14
02:30 - 02:45,110.43,155.50,139.90,128.68,128.68,127.23,124.27,321.6,317.8,319.7,2025-02-14
02:45 - 03:00,113.90,156.41,139.00,124.45,124.45,127.47,123.04,401.2,413.8,407.5,2025-02-14
03:00 - 03:15,104.00,215.85,125.60,126.41,126.41,126.59,127.35,294.0,272.6,283.3,2025-02-14
03:15 - 03:30,62.04,151.27,129.00,122.12,122.12,120.48,121.03,315.0,270.4,292.7,2025-02-14
03:30 - 03:45,111.40,169.09,128.00,123.75,123.75,122.47,122.71,324.7,291.8,308.3,2025-02-14
03:45 - 04:00,115.13,170.19,120.10,124.80,124.80,123.63,122.89,332.1,287.6,309.9,2025-02-14
04:00 - 04:15,74.35,169.20,114.20,121.34,121.34,121.97,121.22,426.4,366.5,396.5,2025-02-14
04:15 - 04:30,97.60,171.37,133.89,123.08,123.08,122.44,121.86,380.9,327.9,354.4,2025-02-14
04:30 - 04:45,126.13,265.74,174.29,136.74,136.74,135.13,132.17,289.1,299.5,294.3,2025-02-14
04:45 - 05:00,108.09,180.11,147.10,131.25,131.25,130.30,125.80,409.1,333.6,371.4,2025-02-14
05:00 - 05:15,88.15,159.51,139.99,128.94,128.94,131.97,127.30,445.9,530.6,488.3,2025-02-14
05:15 - 05:30,91.52,156.79,108.76,130.74,130.74,141.52,131.50,346.1,383.6,364.9,2025-02-14
05:30 - 05:45,85.12,180.59,101.33,139.41,139.41,151.33,144.74,492.8,551.8,522.3,2025-02-14
05:45 - 06:00,82.97,194.76,120.00,138.97,138.97,144.72,145.02,544.6,540.2,542.4,2025-02-14
06:00 - 06:15,73.64,161.89,109.50,116.23,116.23,105.97,115.27,851.7,772.6,812.2,2025-02-14
06:15 - 06:30,106.07,207.55,116.50,135.40,135.40,127.33,139.93,486.9,538.4,512.7,2025-02-14
06:30 - 06:45,103.04,191.88,113.85,156.11,156.11,153.04,164.39,790.1,769.4,779.8,2025-02-14
06:45 - 07:00,81.52,231.95,128.80,170.30,170.30,150.79,169.96,745.5,908.8,827.2,2025-02-14
07:00 - 07:15,37.02,220.77,155.00,171.82,171.82,155.58,174.72,648.6,621.2,634.9,2025-02-14
07:15 - 07:30,86.01,254.35,145.40,188.04,188.04,181.75,185.75,489.3,504.4,496.9,2025-02-14
07:30 - 07:45,144.92,250.19,163.90,196.17,196.17,186.38,190.41,597.1,592.1,594.6,2025-02-14
07:45 - 08:00,120.01,281.07,187.00,214.52,214.52,197.17,211.29,946.1,997.0,971.6,2025-02-14
08:00 - 08:15,138.03,310.00,199.00,220.02,220.02,186.85,203.26,577.7,585.2,581.5,2025-02-14
08:15 - 08:30,130.00,297.29,235.00,218.37,218.37,187.57,199.94,636.1,641.1,638.6,2025-02-14
08:30 - 08:45,104.32,312.13,262.79,215.89,215.89,187.56,196.81,639.0,648.4,643.7,2025-02-14
08:45 - 09:00,172.12,275.76,249.99,207.50,207.50,208.41,196.27,899.0,871.9,885.5,2025-02-14
09:00 - 09:15,129.50,287.00,212.96,211.74,211.74,209.01,203.21,886.9,922.7,904.8,2025-02-14
09:15 - 09:30,123.01,358.75,204.52,198.34,198.34,193.48,192.83,717.6,688.7,703.2,2025-02-14
09:30 - 09:45,132.01,378.88,165.00,188.93,188.93,189.62,183.62,637.2,612.9,625.1,2025-02-14
09:45 - 10:00,137.80,268.79,220.00,184.12,184.12,186.92,179.59,1014.1,949.3,981.7,2025-02-14
10:00 - 10:15,-500.00,324.89,228.00,197.01,197.01,195.33,194.84,842.6,946.7,894.7,2025-02-14
10:15 - 10:30,149.08,276.86,230.00,186.20,186.20,180.49,183.39,666.4,677.9,672.2,2025-02-14
10:30 - 10:45,154.30,268.86,221.93,180.70,180.70,171.96,173.79,854.7,815.8,835.3,2025-02-14
10:45 - 11:00,139.76,248.97,160.90,161.63,161.63,156.95,154.98,898.6,756.5,827.6,2025-02-14
11:00 - 11:15,-500.00,232.12,200.00,184.86,184.86,200.96,189.06,733.2,795.3,764.3,2025-02-14
11:15 - 11:30,127.40,255.40,255.40,168.82,168.82,169.61,167.94,647.9,619.3,633.6,2025-02-14
11:30 - 11:45,125.98,332.51,195.88,173.72,173.72,174.41,168.76,881.7,881.3,881.5,2025-02-14
11:45 - 12:00,44.99,215.41,200.66,165.86,165.86,178.15,165.19,1060.7,1033.8,1047.3,2025-02-14
12:00 - 12:15,115.25,229.60,204.92,181.25,181.25,196.43,181.99,663.1,689.5,676.3,2025-02-14
12:15 - 12:30,139.01,299.82,223.76,170.84,170.84,173.76,167.86,568.7,567.9,568.3,2025-02-14
12:30 - 12:45,131.84,289.48,207.40,175.22,175.22,176.56,166.59,712.3,741.0,726.7,2025-02-14
12:45 - 13:00,126.00,236.23,204.86,172.37,172.37,192.10,173.45,886.1,930.1,908.1,2025-02-14
13:00 - 13:15,137.70,233.58,203.50,171.35,171.35,184.28,172.53,702.2,643.6,672.9,2025-02-14
13:15 - 13:30,134.19,224.99,217.68,166.33,166.33,168.66,165.45,668.1,569.3,618.7,2025-02-14
13:30 - 13:45,142.68,225.00,209.12,169.34,169.34,171.93,168.10,759.9,669.3,714.6,2025-02-14
13:45 - 14:00,143.30,238.99,202.00,167.71,167.71,175.70,167.12,882.6,852.1,867.4,2025-02-14
14:00 - 14:15,110.00,282.95,169.40,165.14,165.14,182.81,167.91,770.8,675.6,723.2,2025-02-14
14:15 - 14:30,119.13,224.80,187.91,172.91,172.91,191.23,174.65,640.1,609.8,625.0,2025-02-14
14:30 - 14:45,155.01,227.31,204.09,176.26,176.26,181.06,175.96,606.9,565.1,586.0,2025-02-14
14:45 - 15:00,161.33,211.48,194.40,182.78,182.78,190.05,185.05,668.7,752.7,710.7,2025-02-14
15:00 - 15:15,145.71,277.70,219.15,171.75,171.75,187.71,172.00,776.1,695.7,735.9,2025-02-14
15:15 - 15:30,152.04,240.92,200.00,184.33,184.33,190.89,183.53,672.0,668.6,670.3,2025-02-14
15:30 - 15:45,160.21,251.07,225.88,190.24,190.24,190.07,187.83,623.9,638.2,631.1,2025-02-14
15:45 - 16:00,179.60,275.78,229.00,195.87,195.87,196.61,194.49,827.9,873.4,850.7,2025-02-14
16:00 - 16:15,135.85,274.00,274.00,180.84,180.84,195.61,182.33,969.0,985.4,977.2,2025-02-14
16:15 - 16:30,160.00,253.57,215.00,192.24,192.24,194.39,191.46,781.1,847.4,814.3,2025-02-14
16:30 - 16:45,139.76,257.49,223.59,211.36,211.36,219.90,212.12,634.0,714.5,674.3,2025-02-14
16:45 - 17:00,185.58,271.64,188.53,217.35,217.35,225.51,218.64,811.9,1000.4,906.2,2025-02-14
17:00 - 17:15,122.20,302.15,177.78,191.63,191.63,206.75,200.82,676.5,749.6,713.1,2025-02-14
17:15 - 17:30,156.01,319.86,201.30,212.09,212.09,213.91,213.39,445.2,544.6,494.9,2025-02-14
17:30 - 17:45,157.70,323.68,179.01,248.51,248.51,208.43,257.61,664.3,729.6,697.0,2025-02-14
17:45 - 18:00,144.03,400.01,161.78,279.44,279.44,211.78,293.71,968.8,1018.4,993.6,2025-02-14
18:00 - 18:15,140.01,327.98,150.00,230.82,230.82,188.09,241.09,721.1,799.6,760.4,2025-02-14
18:15 - 18:30,100.00,327.98,155.89,219.70,219.70,181.68,214.15,618.7,637.3,628.0,2025-02-14
18:30 - 18:45,138.89,306.31,170.00,202.71,202.71,181.99,194.22,547.4,570.5,559.0,2025-02-14
18:45 - 19:00,100.02,303.07,172.90,194.02,194.02,185.24,187.99,653.6,679.4,666.5,2025-02-14
19:00 - 19:15,91.90,273.02,170.00,198.48,198.48,191.18,194.28,875.2,844.5,859.9,2025-02-14
19:15 - 19:30,128.26,249.78,193.95,192.22,192.22,182.80,189.22,736.0,761.7,748.9,2025-02-14
19:30 - 19:45,86.45,213.61,176.76,181.68,181.68,166.41,175.66,656.9,736.2,696.6,2025-02-14
19:45 - 20:00,85.02,276.98,158.69,172.24,172.24,167.70,170.00,863.8,976.6,920.2,2025-02-14
20:00 - 20:15,169.40,330.31,276.76,197.48,197.48,196.48,191.41,846.7,855.5,851.1,2025-02-14
20:15 - 20:30,161.78,327.49,185.20,185.65,185.65,195.83,182.76,753.7,817.1,785.4,2025-02-14
20:30 - 20:45,140.40,252.07,195.35,170.89,170.89,174.60,170.07,504.3,522.0,513.2,2025-02-14
20:45 - 21:00,109.13,285.07,245.00,162.36,162.36,159.11,157.74,825.2,786.2,805.7,2025-02-14
21:00 - 21:15,150.02,229.98,195.00,181.77,181.77,176.47,181.16,531.2,589.6,560.4,2025-02-14
21:15 - 21:30,77.02,210.28,166.99,164.01,164.01,157.12,166.20,462.3,499.4,480.9,2025-02-14
21:30 - 21:45,87.08,181.09,108.09,139.03,139.03,134.30,139.71,579.4,455.6,517.5,2025-02-14
21:45 - 22:00,103.09,172.99,128.90,128.67,128.67,124.82,128.99,819.4,698.1,758.8,2025-02-14
22:00 - 22:15,116.35,245.00,123.20,159.33,159.33,153.87,161.58,564.0,474.6,519.3,2025-02-14
22:15 - 22:30,123.31,189.50,144.90,149.24,149.24,139.19,148.02,327.2,342.3,334.8,2025-02-14
22:30 - 22:45,103.20,205.50,167.10,135.25,135.25,125.42,132.91,553.3,505.0,529.2,2025-02-14
22:45 - 23:00,88.33,307.78,139.90,131.74,131.74,124.02,129.67,851.7,723.6,787.7,2025-02-14
23:00 - 23:15,115.20,278.67,154.50,152.72,152.72,147.51,149.78,420.9,375.4,398.2,2025-02-14
23:15 - 23:30,89.53,219.69,144.62,132.71,132.71,130.94,130.43,358.9,288.7,323.8,2025-02-14
23:30 - 23:45,116.94,164.56,121.38,125.05,125.05,120.68,122.64,378.1,323.0,350.6,2025-02-14
23:45 - 24:00,65.71,150.00,125.00,115.91,115.91,111.14,112.74,600.0,607.1,603.6,2025-02-14
