Time_Frame,Low,High,Last,Weight_Avg,ID_Full,ID1,ID3,Buy_Volume,Sell_Volume,Volume,Date
00:00 - 00:15,75.70,200.00,132.30,132.29,132.29,129.84,133.84,558.9,608.2,583.6,2025-02-05
00:15 - 00:30,81.70,231.11,122.72,134.62,134.62,143.68,138.29,421.0,453.1,437.1,2025-02-05
00:30 - 00:45,82.53,168.33,108.96,126.65,126.65,134.74,130.37,489.8,545.5,517.7,2025-02-05
00:45 - 01:00,-113.41,143.18,129.10,118.27,118.27,113.15,118.71,542.2,590.5,566.4,2025-02-05
01:00 - 01:15,92.85,176.80,152.44,138.37,138.37,138.13,136.31,432.0,425.6,428.8,2025-02-05
01:15 - 01:30,81.21,169.80,161.81,133.40,133.40,133.99,131.50,375.9,440.6,408.3,2025-02-05
01:30 - 01:45,78.79,169.60,155.21,125.86,125.86,123.46,121.62,392.4,433.9,413.2,2025-02-05
01:45 - 02:00,78.20,268.54,152.82,119.55,119.55,123.51,117.23,520.0,562.8,541.4,2025-02-05
02:00 - 02:15,87.35,173.81,132.60,134.09,134.09,137.16,131.65,401.6,436.1,418.9,2025-02-05
02:15 - 02:30,73.40,153.09,123.64,123.99,123.99,130.48,125.23,381.7,398.0,389.9,2025-02-05
02:30 - 02:45,79.19,147.09,145.00,122.21,122.21,130.09,125.49,436.0,442.8,439.4,2025-02-05
02:45 - 03:00,78.47,151.83,128.00,116.03,116.03,114.29,115.29,568.0,603.1,585.6,2025-02-05
03:00 - 03:15,98.53,170.38,143.53,124.17,124.17,121.42,123.16,366.2,342.7,354.5,2025-02-05
03:15 - 03:30,98.00,153.46,148.04,122.66,122.66,121.34,119.44,467.9,452.2,460.1,2025-02-05
03:30 - 03:45,102.96,172.98,172.98,122.93,122.93,122.98,119.81,508.9,501.9,505.4,2025-02-05
03:45 - 04:00,107.55,169.09,128.00,121.86,121.86,123.87,119.33,524.8,533.4,529.1,2025-02-05
04:00 - 04:15,13.16,145.78,124.00,120.40,120.40,125.93,121.63,485.9,428.0,457.0,2025-02-05
